TimerID   ModuleName  Interv(ms)  Type      StartTime   EndTime     CurExpire   NextExpire  CB(type:func)   
34        MW_CTRL     3600000     once      0           0           1322701215  0           com:0x3c2e8 
33        MW_IW       1000        cycle     0           0           1322697625  1322697626  com:0xb5f9b594 
32        MW_STOR_MCP 00:00:00    day       1322697600  2145830400  1322784000  1322870400  com:0x174958 
31        MW_STOR_MCP 90000000    once      0           0           1322787612  0           ext:0x1748d8   
30        MW_STOR_MCP 90000000    once      0           0           1322787612  0           ext:0x1748d8   
29        MW_CTRL     120000      cycle     0           0           1322697732  1322697852  com:0x49ffc 
28        MW_CTRL     10000       cycle     0           0           1322697632  1322697642  com:0x3c2b4 
27        MW_CTRL     86400000    once      0           0           1322784012  0           com:0x5bca0 
26        MW_CTRL     200000      once      0           0           1322697811  4294967295  com:0x3d074 
25        AM_SIP      10000       cycle     0           0           1322697630  1322697640  com:0x26b59c 
24        MW_CTRL     03:00:00    day       0           2145830400  1322708399  1322794799  com:0x6bfac 
23        MW_CTRL     04:13:17    day       0           2145830400  1322712796  1322799196  com:0x3bbe0 
22        MW_CTRL     60000       cycle     0           0           1322697670  1322697730  com:0x3cbcc 
21        MW_CTRL     3000        cycle     0           0           1322697625  1322697628  com:0xb65df670 
20        MW_SDK      15000       cycle     0           0           1322697639  1322697654  com:0xb6723f08 
19        MW_SDK      90000       cycle     0           0           1322697699  1322697789  com:0xb67206e8 
17        MW_ALM      10000       cycle     0           0           1322697628  1322697638  com:0x11f4a4 
16        MW_ALM      200         cycle     0           0           1322697624  1322697624  com:0x12e384 
14        MW_STOR_MCP 90000000    once      0           0           1322787605  4294967295  ext:0x1748d8   
12        MW_STOR_MCP 60000       cycle     0           0           1322697665  1322697725  com:0x112a04 
10        MW_STOR_MCP 10000       cycle     0           0           1322697624  1322697634  com:0x2c7ffc 
9         MW_STOR_MCP 300000      cycle     0           0           1322697904  1322698204  com:0x174948 
8         MW_STOR_MCP 60000       cycle     0           0           1322697664  1322697724  com:0x211bac 
7         MW_STOR_MCP 20000       once      0           0           0           0           com:0x31ef58 
6         MW_STOR_MCP 100         cycle     0           0           1322697624  1322697624  com:0x2197a8 
5         MW_STOR_MCP 100         cycle     0           0           1322697624  1322697624  com:0x2154d0 
4         MW_STOR_MCP 100         cycle     0           0           1322697624  1322697624  com:0x2154d0 
3         MW_STOR_MCP 60000       cycle     0           0           1322697663  1322697723  com:0x2151a0 
1         MW_PTZ      10000       cycle     0           0           1322697631  1322697641  com:0x33a7fc 
total: 29 
